web-scraper-order,web-scraper-start-url,video-name,video-name-href
"1594627053-3439","https://www.youtube.com/c/YourQuoteApp/videos","'Nirala Ishq' by Deepak Maurya | Hindi Poetry | YourQuote - Patna (Open Mic 1)","https://www.youtube.com/watch?v=UIRPl-2RzPE"
"1594627053-3945","https://www.youtube.com/c/YourQuoteApp/videos","'Go On, Take A Piece' & 'Man's World' by Jhelum A. | English Poetry | YQ - Mumbai (Open Mic 3)","https://www.youtube.com/watch?v=BU0MQ_hnCcs"
"1594627053-3727","https://www.youtube.com/c/YourQuoteApp/videos","'Ek Tadap Si Hai Iss Dil Mein' by Rishabh Dev Rathore | Hindi Poetry | YQ - Raipur (Open Mic 3)","https://www.youtube.com/watch?v=QwmTbLiqR_E"
"1594627053-3667","https://www.youtube.com/c/YourQuoteApp/videos","'I Hate This City' by Shashank Sharma | English Poetry | YourQuote - New Delhi (Open Mic 4)","https://www.youtube.com/watch?v=7XtN51O_Zfc"
"1594627053-3196","https://www.youtube.com/c/YourQuoteApp/videos","'Kya Baat Hai' & More by Rachna Malhotra | Hindi Poetry | YourQuote - Mumbai (Open Mic 6)","https://www.youtube.com/watch?v=Vn7_8-uy00g"
"1594627053-4196","https://www.youtube.com/c/YourQuoteApp/videos","'Because It's You' & More by Niharika Karan | English & Hindi Poetry | YQ - New Delhi (Open Mic 1)","https://www.youtube.com/watch?v=U6ihHOLQyHc"
"1594627053-3746","https://www.youtube.com/c/YourQuoteApp/videos","Shayari & 'Payaame Sulah' by Faheem Iqbal Wani | Urdu Poetry | YourQuote - Srinagar (Open Mic 1)","https://www.youtube.com/watch?v=kQ7FSQ6o184"
"1594627053-4011","https://www.youtube.com/c/YourQuoteApp/videos","'The Lady Wants' by Swastik Anand | English Poetry | YQ - Kolkata (Open Mic 1)","https://www.youtube.com/watch?v=tndMcTl9b1c"
"1594627053-3194","https://www.youtube.com/c/YourQuoteApp/videos","'Letters From Far Away' by Sneh Joshi | English Poetry | YourQuote - Mumbai (Open Mic 6)","https://www.youtube.com/watch?v=1kVw-jO5wec"
"1594627053-3899","https://www.youtube.com/c/YourQuoteApp/videos","'Pretence' & 'The Moon Song' by Kavya Janani | English Poetry | YQ - Chennai (Open Mic 2)","https://www.youtube.com/watch?v=fQ1VSTxCnps"
"1594627053-3819","https://www.youtube.com/c/YourQuoteApp/videos","'Other People' by Girish B.S. | English Poetry | YourQuote - Ashoka University (Open Mic 1)","https://www.youtube.com/watch?v=G_VJuOXtHTU"
"1594627053-3630","https://www.youtube.com/c/YourQuoteApp/videos","'I Wish, Our Moments Can Be Recycled' by Prem | English Poetry | YourQuote - Greenpeace","https://www.youtube.com/watch?v=CnN9jJYKHTM"
"1594627053-3735","https://www.youtube.com/c/YourQuoteApp/videos","'Okay' & 'Tiranga' by Bhavya Satpathi | English & Hindi Poetry | YourQuote - Raipur (Open Mic 3)","https://www.youtube.com/watch?v=0kfzbzM88WQ"
"1594627053-2981","https://www.youtube.com/c/YourQuoteApp/videos","'Tum' by Sajal Kumar | Hindi Poetry | YourQuote Handpicked","https://www.youtube.com/watch?v=68uzyd1KSAE"
"1594627053-3251","https://www.youtube.com/c/YourQuoteApp/videos","'Berojgari' by Rahul Iqbal | Kashmiri Poetry | YourQuote - Srinagar (Open Mic 3)","https://www.youtube.com/watch?v=dQPBjKvr6Fg"
"1594627053-3745","https://www.youtube.com/c/YourQuoteApp/videos","'Bachpan Ki Yaari' & More by Irtab Altaf | Urdu & Kashmiri Poetry | YQ - Srinagar (Open Mic 1)","https://www.youtube.com/watch?v=k4RMhC5-oTQ"
"1594627053-3679","https://www.youtube.com/c/YourQuoteApp/videos","Ghazals by Ayushi Gupta | Hindi Ghazal | YourQuote - New Delhi (Open Mic 4)","https://www.youtube.com/watch?v=62r3b9dRDmY"
"1594627053-4063","https://www.youtube.com/c/YourQuoteApp/videos","'Ek Kavi Ki Vyatha' by Ankit Anand | Hindi Poetry | YQ - Indore (Open Mic 1)","https://www.youtube.com/watch?v=kzkwD7RLc3E"
"1594627053-3680","https://www.youtube.com/c/YourQuoteApp/videos","'Nanhi Si Bhukh' & 'Dil Ki Hasi' by Arun Prakash Singh | Hindi Poetry | YQ - New Delhi (Open Mic 4)","https://www.youtube.com/watch?v=15rlonsxL8o"
"1594627053-3881","https://www.youtube.com/c/YourQuoteApp/videos","'3am You Are Not Alone' by Dhristi Mendiratta | English Poetry | YQ - Hyderabad (Open Mic 2)","https://www.youtube.com/watch?v=Irdul8el6OM"
"1594627053-3468","https://www.youtube.com/c/YourQuoteApp/videos","'Maa' by Ankita Tripathi | Hindi Poetry | YourQuote - Kanpur (Open Mic 1)","https://www.youtube.com/watch?v=7DRtFeMNsOQ"
"1594627053-3614","https://www.youtube.com/c/YourQuoteApp/videos","'Sanam' by Rafi Shoaib | Hindi Poetry | YourQuote - Hyderabad (Open Mic 3)","https://www.youtube.com/watch?v=A9exuw2ZHLk"
"1594627053-3784","https://www.youtube.com/c/YourQuoteApp/videos","'Shaadi' & 'Prasoon' by Durlabha Vyas | Hindi Poetry | YourQuote - Ahmedabad (Open Mic 1)","https://www.youtube.com/watch?v=7AMMDHaLs4M"
"1594627053-4125","https://www.youtube.com/c/YourQuoteApp/videos","'Parts Of Me' by Akshay Balan | English Poetry | YQ - Bengaluru (Open Mic 1)","https://www.youtube.com/watch?v=4bS_YZifGrs"
"1594627053-2992","https://www.youtube.com/c/YourQuoteApp/videos","Kitaab (किताब) | Hindi Short Film 2018 | Montage Mirror Productions | YourQuote Films","https://www.youtube.com/watch?v=cf1v-AikhGE"
"1594627053-3341","https://www.youtube.com/c/YourQuoteApp/videos","'Mera Sapna' by Amit Sharma | Hindi Poetry | YourQuote - New Delhi (Open Mic 6)","https://www.youtube.com/watch?v=b66f_M45L6A"
"1594627053-4133","https://www.youtube.com/c/YourQuoteApp/videos","'Constipation' by Jeyapaul Caleb | Spoken Word English | YQ - Bengaluru (Open Mic 1)","https://www.youtube.com/watch?v=bNeYQd7ZETE"
"1594627053-3705","https://www.youtube.com/c/YourQuoteApp/videos","'Main Tera Lal, Tu Meri Maiya' by Pankaj Sharma | Hindi Poetry | YourQuote - Kolkata (Open Mic 2)","https://www.youtube.com/watch?v=2rtoE2468L4"
